TripID,ID,WeekdayInt,WeekOfYearInt,HourInt,TripDurationInMinutes,RemainingTravelTimeInMinute,shiptype,Length,Breadth,Draught,Latitude,Longitude,SOG,COG,TH
424725,266356625,5,24,0,2307,1904,70,88,12,4.3,54.42,11.72,9.7,115.2,114
424725,265927622,4,24,21,2307,2060,70,88,12,4.3,54.57,11.08,9.3,81.2,77
424725,266358538,5,24,11,2307,1206,70,88,12,4.3,54.6,14.59,8.9,82.9,81
424725,265932010,4,24,20,2307,2109,70,88,12,4.3,54.56,10.86,9,85.4,84
424725,265933949,4,24,21,2307,2075,70,88,12,4.3,54.56,11.01,8.9,86.7,84
424725,265936113,4,24,21,2307,2066,70,88,12,4.3,54.56,11.05,9,82.5,77
424725,265936129,4,24,21,2307,2083,70,88,12,4.3,54.56,10.98,8.9,86.5,84
424725,265937655,4,24,20,2307,2123,70,88,12,4.3,54.55,10.8,9.5,87.5,84
424725,266366638,5,24,0,2307,1903,70,88,12,4.3,54.42,11.73,9.8,116.2,114
424725,265939593,4,24,21,2307,2074,70,88,12,4.3,54.56,11.02,8.9,87.2,84
424725,265940952,4,24,21,2307,2089,70,88,12,4.3,54.56,10.95,9,86.2,84
424725,265941558,4,24,21,2307,2058,70,88,12,4.3,54.57,11.08,9.3,81.8,77
424725,265947378,4,24,21,2307,2065,70,88,12,4.3,54.57,11.05,9.1,78.8,75
424725,265949810,4,24,20,2307,2108,70,88,12,4.3,54.56,10.87,9,85.1,84
424725,266373654,5,24,0,2307,1902,70,88,12,4.3,54.42,11.73,9.8,115.6,114
424725,266375890,5,24,11,2307,1257,70,88,12,4.3,54.59,14.37,8.9,102.9,101
424725,265951128,4,24,21,2307,2073,70,88,12,4.3,54.56,11.02,8.9,86.8,85
424725,265953219,4,24,21,2307,2064,70,88,12,4.3,54.57,11.06,9.2,80.3,77
424725,265953391,4,24,21,2307,2056,70,88,12,4.3,54.57,11.09,9.3,82,77
424725,265957521,4,24,21,2307,2088,70,88,12,4.3,54.56,10.96,9,86.2,84
424725,265958237,4,24,21,2307,2081,70,88,12,4.3,54.56,10.99,8.9,86.7,84
424725,265961100,4,24,21,2307,2063,70,88,12,4.3,54.57,11.06,9.2,81.2,77
424725,266384824,5,24,1,2307,1851,70,88,12,4.3,54.4,11.96,9.7,89,87
424725,265961229,4,24,21,2307,2045,70,88,12,4.3,54.57,11.14,9.4,83.7,78
424725,266387213,5,24,11,2307,1255,70,88,12,4.3,54.59,14.38,8.6,99.9,91
